序号,时间,共同角点数,中心dx_px,中心dy_px,角点RMS_px,去平移形变RMS_px,最大角点差_px,PnP重投影RMSE_px,平均灰度,相对基准灰度,拉普拉斯清晰度,相对基准清晰度,返回X_mm,返回Y_mm,返回Z_mm,返回平移模长_mm,返回Rx_deg,返回Ry_deg,返回Rz_deg,返回旋转模长_deg,图片
1,10:03:36,16,-0.011684417724609375,0.07385635375976562,0.12855792260815582,0.10457462817086069,0.20530492865886754,0.1560085773399866,118.863265625,0.025768554687502387,293.0214314281616,0.25611697558576907,0.20405728537264967,-0.1387577132531126,0.11992124593210307,0.274361411147406,0.006584947044688006,-0.05409537622633596,0.002354726299376011,0.05454554053811505,data/debug/20260821/20260821_100336_258756_compensation_current/raw.jpg
2,10:04:02,16,-0.053867340087890625,-0.022661209106445312,0.1268087774599052,0.11253997207466,0.27215626988830827,0.14160004477174562,119.0013466796875,0.16384960937500637,292.1023857332145,-0.6629287193613322,-0.24442219687093036,-0.4251201164657825,0.22748276537445933,0.5405716717415958,-0.10580772124776194,-0.01970985560247886,-0.01118889959606517,0.10820787290066046,data/debug/20260821/20260821_100402_719917_compensation_current/raw.jpg
3,10:04:11,16,-0.055812835693359375,-0.008813858032226562,0.1366865952605147,0.12446071107930237,0.28864121667870163,0.16021956895060957,119.0070458984375,0.16954882812500216,291.7338650995484,-1.0314493530274262,0.02067863965471428,-0.25163621224577604,0.1501578017044647,0.2937613910371615,-0.03944793968377462,-0.035253919828121344,-0.006169140252045709,0.05326384420966758,data/debug/20260821/20260821_100411_625711_compensation_current/raw.jpg
4,10:04:19,16,-0.03733062744140625,-0.029943466186523438,0.12232745861915473,0.11257806278218002,0.2517100499719806,0.15713308998142725,118.962267578125,0.12477050781249943,291.6623349590063,-1.102979493569535,-0.05094905230673685,-0.4826189935249747,0.25792529687088117,0.5495838039898432,-0.08066254605389253,-0.05942307430073564,-0.0031353306006742803,0.10023661203982608,data/debug/20260821/20260821_100419_770080_compensation_current/raw.jpg
5,10:05:05,16,-0.00038909912109375,-0.10046768188476562,0.15427674995227922,0.11707864482651646,0.2942637116349679,0.18946303002970802,119.0094970703125,0.17200000000001125,291.4686688763037,-1.2966455762721125,0.2963267556029825,-0.26626988087907755,0.11541705849416051,0.4147653468420334,0.008517355287130837,-0.07722587381079153,-0.003963127381770713,0.0777951624818128,data/debug/20260821/20260821_100505_983585_compensation_current/raw.jpg
6,10:05:11,16,-0.020755767822265625,-0.11071586608886719,0.15679197175408127,0.1090638230800335,0.3152053082193428,0.1507426708573289,119.0135234375,0.17602636718750375,292.1384121069907,-0.6269023455851084,-0.1639890807350053,-0.45128736263722047,0.21950774751067215,0.527954878274251,-0.08719826559018078,-0.03555825923955835,-0.0005047998136613438,0.09417102603739227,data/debug/20260821/20260821_100511_840648_compensation_current/raw.jpg
7,10:05:15,16,-0.042629241943359375,-0.08316612243652344,0.13746687886591322,0.10081312709832672,0.332539113906324,0.1259690500764351,118.99752734375,0.1600302734374992,292.27113850042736,-0.4941759521484528,-0.05791026373658248,-0.5914411961187582,0.29322620997987436,0.6626748051130277,-0.09801903084551457,-0.07010059331193493,-0.009317546853245061,0.12086620813917201,data/debug/20260821/20260821_100515_501750_compensation_current/raw.jpg
8,10:05:20,16,-0.023258209228515625,-0.11491966247558594,0.1596433610720991,0.10834449508109123,0.3038961085218484,0.13223318628936379,119.0162958984375,0.1787988281250108,292.4550908201972,-0.3102236323786087,0.1832156756378378,-0.5914887763448506,0.29159406096801455,0.6844370334319851,-0.05414846370082802,-0.10830709790762391,0.0028744597673112317,0.1211228553877649,data/debug/20260821/20260821_100520_425750_compensation_current/raw.jpg
9,10:05:24,16,-0.011699676513671875,-0.171234130859375,0.19556009870560095,0.09373229008220305,0.33068958055573144,0.14000946295555963,119.0028798828125,0.16538281249999898,291.59716292327033,-1.1681515293054758,-0.051924565899863495,-0.3952069489970844,0.17832730539554809,0.43667530377742964,-0.05687701206219253,-0.04231396388530437,0.003619408412593745,0.07098285819877072,data/debug/20260821/20260821_100524_932615_compensation_current/raw.jpg
10,10:05:40,16,-0.027904510498046875,-0.1311664581298828,0.17152902969036227,0.10695282409568843,0.26202978327095555,0.13865227394516022,119.0821357421875,0.2446386718750091,292.041452148429,-0.7238623041467918,0.07995671878624488,-0.4371786730104077,0.2517747540642934,0.5107923215929728,-0.04789985574245894,-0.0680334046225462,0.0008321580598096266,0.08320836984174111,data/debug/20260821/20260821_100540_581823_compensation_current/raw.jpg
